	Altai5	Db1	Kar1	Rubezhnoe1	St0	TAIR10
Number of genes	26905	25167	27273	27312	28018	27416
Number of genes in orthogroups	26684	24944	27125	27174	27797	26947
Number of unassigned genes	221	223	148	138	221	469
Percentage of genes in orthogroups	99.2	99.1	99.5	99.5	99.2	98.3
Percentage of unassigned genes	0.8	0.9	0.5	0.5	0.8	1.7
Number of orthogroups containing species	22584	22158	23590	22404	23728	23500
Percentage of orthogroups containing species	88.6	86.9	92.5	87.8	93.0	92.1
Number of species-specific orthogroups	10	8	8	18	16	71
Number of genes in species-specific orthogroups	22	26	30	46	45	194
Percentage of genes in species-specific orthogroups	0.1	0.1	0.1	0.2	0.2	0.7


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	2920	3346	1914	3100	1776	2004
'1	19744	20295	21126	19135	21126	21122
'2	2182	1455	1894	2471	1955	1843
'3	424	237	347	521	400	320
'4	109	86	127	163	128	107
'5	57	33	36	55	52	46
'6	22	13	24	23	21	25
'7	16	12	11	8	14	8
'8	7	6	12	12	6	11
'9	9	6	3	6	5	4
'10	4	3	2	1	2	3
11-15	7	8	5	6	14	10
16-20	1	1	3	0	1	0
21-50	2	3	0	1	2	1
51-100	0	0	0	2	1	0
101-150	0	0	0	0	0	0
151-200	0	0	0	0	1	0
201-500	0	0	0	0	0	0
501-1000	0	0	0	0	0	0
'1001+	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	11.4	13.1	7.5	12.2	7.0	7.9
'1	77.4	79.6	82.8	75.0	82.8	82.8
'2	8.6	5.7	7.4	9.7	7.7	7.2
'3	1.7	0.9	1.4	2.0	1.6	1.3
'4	0.4	0.3	0.5	0.6	0.5	0.4
'5	0.2	0.1	0.1	0.2	0.2	0.2
'6	0.1	0.1	0.1	0.1	0.1	0.1
'7	0.1	0.0	0.0	0.0	0.1	0.0
'8	0.0	0.0	0.0	0.0	0.0	0.0
'9	0.0	0.0	0.0	0.0	0.0	0.0
'10	0.0	0.0	0.0	0.0	0.0	0.0
11-15	0.0	0.0	0.0	0.0	0.1	0.0
16-20	0.0	0.0	0.0	0.0	0.0	0.0
21-50	0.0	0.0	0.0	0.0	0.0	0.0
51-100	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0
'1	19744	20295	21126	19135	21126	21122
'2	4364	2910	3788	4942	3910	3686
'3	1272	711	1041	1563	1200	960
'4	436	344	508	652	512	428
'5	285	165	180	275	260	230
'6	132	78	144	138	126	150
'7	112	84	77	56	98	56
'8	56	48	96	96	48	88
'9	81	54	27	54	45	36
'10	40	30	20	10	20	30
11-15	89	100	62	78	180	128
16-20	16	17	56	0	16	0
21-50	57	108	0	29	46	33
51-100	0	0	0	146	51	0
101-150	0	0	0	0	0	0
151-200	0	0	0	0	159	0
201-500	0	0	0	0	0	0
501-1000	0	0	0	0	0	0
'1001+	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0
'1	73.4	80.6	77.5	70.1	75.4	77.0
'2	16.2	11.6	13.9	18.1	14.0	13.4
'3	4.7	2.8	3.8	5.7	4.3	3.5
'4	1.6	1.4	1.9	2.4	1.8	1.6
'5	1.1	0.7	0.7	1.0	0.9	0.8
'6	0.5	0.3	0.5	0.5	0.4	0.5
'7	0.4	0.3	0.3	0.2	0.3	0.2
'8	0.2	0.2	0.4	0.4	0.2	0.3
'9	0.3	0.2	0.1	0.2	0.2	0.1
'10	0.1	0.1	0.1	0.0	0.1	0.1
11-15	0.3	0.4	0.2	0.3	0.6	0.5
16-20	0.1	0.1	0.2	0.0	0.1	0.0
21-50	0.2	0.4	0.0	0.1	0.2	0.1
51-100	0.0	0.0	0.0	0.5	0.2	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.6	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0
